Código,Escola,end1,Número,end1,Endereco,Bairro,Cidade,DDD,Telefone,CEP,email,Tipo,Lat,Lng
144878,CEI MUN CECILIA SATELER KARSTEN,R WALTER BARTEL,71,"R WALTER BARTEL, ","R WALTER BARTEL, 71",JOO PESSOA,JARAGUÁ DO SUL,47,33702842,89257474,,Municipais,"50,6411753","7,5153538"
117110,CENTRO SOCIAL MUN WALDIR E THEILACKER,ESTRADA GARIBALDI,0,"ESTRADA GARIBALDI, ","ESTRADA GARIBALDI, 0",GARIBALDI,JARAGUÁ DO SUL,4,3761327,89253000,,Municipais,"41,3197728","-8,1473414"
108600,CENTRO SOCIAL MUN WOLFGANG WEEGE,R PASTOR ALBERTO SCHNEIDER,249,"R PASTOR ALBERTO SCHNEIDER, ","R PASTOR ALBERTO SCHNEIDER, 249",BARRA RIO CEDRO,JARAGUÁ DO SUL,4,3761294,89260300,,Municipais,"-29,4320683","-51,9706895"
110760,CMEI ALEXANDER DE BORBA,R ADOLFO A A ZIEMANN,514,"R ADOLFO A A ZIEMANN, ","R ADOLFO A A ZIEMANN, 514",CZERNIEWICZ,JARAGUÁ DO SUL,4,2752246,89255410,,Municipais,"-26,4741416","-49,0962975"
152757,CMEI ALEXANDER ENKE,RUA ARTUR ENKE,545,"RUA ARTUR ENKE, ","RUA ARTUR ENKE, 545",AMIZADE,JARAGUÁ DO SUL,47,3376-6227,89255-755,cmeialexanderenke@gamail.com,Municipais,"-26,452174","-49,1021231"
109630,CMEI ALMIDA DALCANALE BERTOLI,R LUIZ SARTI,921,"R LUIZ SARTI, ","R LUIZ SARTI, 921",NEREU RAMOS,JARAGUÁ DO SUL,4,2760057,89265500,,Municipais,"-26,4516401","-49,1647559"
152846,CMEI APOLONIA STAHLIN JUNKS,RUA ALBERTO MAIOCHI,1220,"RUA ALBERTO MAIOCHI, ","RUA ALBERTO MAIOCHI, 1220",CHICO DE PAULO,JARAGUÁ DO SUL,,,89254-792,id80161@jaraguadosul.sc.gov.br,Municipais,"-26,483656","-49,1111028"
108588,CMEI CARLO ANDREI EMMENDOERFER,R ADOLF PUTJER,85,"R ADOLF PUTJER, ","R ADOLF PUTJER, 85",RIO MOLHA,JARAGUÁ DO SUL,4,3708209,89259600,,Municipais,"-26,5055813","-49,0923872"
127035,CMEI DANIEL CARLOS PRETTI,R CARLOS FREDERICO RAMTHUM,0,"R CARLOS FREDERICO RAMTHUM, ","R CARLOS FREDERICO RAMTHUM, 0",STA LUZIA,JARAGUÁ DO SUL,4,2748298,89267000,,Municipais,"-26,4444833","-49,0305143"
132381,CMEI ELSA BEHLING GROSSKLAGS,LEODATO RIBEIRO,0,"LEODATO RIBEIRO, ","LEODATO RIBEIRO, 0",ILHA DA FIGUEIR,JARAGUÁ DO SUL,4,3704500,89258260,,Municipais,"-26,490943","-49,0600899"
127060,CMEI ESTRADA NOVA,R LEOPOLDO BLESE,51,"R LEOPOLDO BLESE, ","R LEOPOLDO BLESE, 51",ESTRADA NOVA,JARAGUÁ DO SUL,4,3716042,89254365,,Municipais,"-26,4708425","-49,129863"
108618,CMEI FRANCIANE RAMOS,R PROF IRMAO GERALDINO,484,"R PROF IRMAO GERALDINO, ","R PROF IRMAO GERALDINO, 484",VILA LALAU,JARAGUÁ DO SUL,4,2753479,89256310,,Municipais,"-26,4849389","-49,0587075"
109649,CMEI GERTRUDES KANZLER,R LOURENCO KANZLER,1000,"R LOURENCO KANZLER, ","R LOURENCO KANZLER, 1000",VILA LENZI,JARAGUÁ DO SUL,4,2752241,89252240,,Municipais,"-26,4875059","-49,0949355"
127043,CMEI GUILHERME TRIBESS,R JOSE NARLOCH,0,"R JOSE NARLOCH, ","R JOSE NARLOCH, 0",SAO LUIS,JARAGUÁ DO SUL,4,3707079,89253790,,Municipais,"-26,4934067","-49,1160442"
109622,CMEI JADER MARCOLLA,R GIARDINI LENZI,284,"R GIARDINI LENZI, ","R GIARDINI LENZI, 284",AGUA VERDE,JARAGUÁ DO SUL,4,2752317,89254560,,Municipais,"-26,4763989","-49,1053783"
142352,CMEI JONES CHIODINI,R JOAO CARLOS STEIN,355,"R JOAO CARLOS STEIN, ","R JOAO CARLOS STEIN, 355",JARAGUA ESQUERD,JARAGUÁ DO SUL,47,2737168,89260000,,Municipais,"-26,501369","-49,0973831"
111406,CMEI MARCIO KLINKOSKI,R CATARINA MARANGONI,55,"R CATARINA MARANGONI, ","R CATARINA MARANGONI, 55",VILA NOVA,JARAGUÁ DO SUL,4,3707318,89259500,,Municipais,"-26,503511","-49,0854969"
109614,CMEI MARCIO MAURO MARCATTO FILHO,R CRISTINA ADRIANA PEREIRA,822,"R CRISTINA ADRIANA PEREIRA, ","R CRISTINA ADRIANA PEREIRA, 822",SAO LUIS,JARAGUÁ DO SUL,4,3707458,89253620,,Municipais,"-26,5007018","-49,112851"
156442,CMEI MARIA MOKWA KIATKOSKY,RUA FRANCISCO GRETER,832,"RUA FRANCISCO GRETER, ","RUA FRANCISCO GRETER, 832",BRAÇO RIBEIRÃO CAVALO,JARAGUÁ DO SUL,47,32733154,89265215,CME.MARIAMK@JARAGUADOSUL.SC.GOV.BR,Municipais,"-26,4589982","-49,1909474"
133698,CMEI MARIO NICOLLINI,R MAXIMINO BEBER,575,"R MAXIMINO BEBER, ","R MAXIMINO BEBER, 575",SANTO ANTONIO,JARAGUÁ DO SUL,4,2760220,89266250,,Municipais,"-26,4327161","-49,1518232"
139076,CMEI ONELIA MULLER ERSCHING,R 940 ESQUINA COM ELISA MASS,0,"R 940 ESQUINA COM ELISA MASS, ","R 940 ESQUINA COM ELISA MASS, 0",JARAGUA 99,JARAGUÁ DO SUL,0,0,89260720,,Municipais,ZERO_RESULTS,ZERO_RESULTS
144916,CMEI PROF ALVINA KRSTEN SCHWEDLER,R: PREFEITO JOSE BAUER,1321,"R: PREFEITO JOSE BAUER, ","R: PREFEITO JOSE BAUER, 1321",RAU,JARAGUÁ DO SUL,0,0,89254100,,Municipais,"-26,454853","-49,11455"
144894,CMEI PROF ILSE DUMKE GIESE,R CHRISTINA ADRIANA PEREIRA,822,"R CHRISTINA ADRIANA PEREIRA, ","R CHRISTINA ADRIANA PEREIRA, 822",SAO LUIZ,JARAGUÁ DO SUL,0,0,89253535,,Municipais,"-26,5007018","-49,112851"
144886,CMEI PROF LEONIR PESSATE ALVES,R:385 JOAO BACHMANN,60,"R:385 JOAO BACHMANN, ","R:385 JOAO BACHMANN, 60",ILHA DA FIGUEIRA,JARAGUÁ DO SUL,0,0,84250000,,Municipais,"-26,1941629","-49,4030162"
111929,CMEI ROBSON DA SILVA BREIS,R 389 JOAO SANSON,126,"R 389 JOAO SANSON, ","R 389 JOAO SANSON, 126",ILHA FIGUEIRA,JARAGUÁ DO SUL,4,3704852,89258670,,Municipais,"-26,4896026","-49,0393343"
144908,CMEI RODOLFO HUFENUESSLER,R DOMINGOS ROSA,950,"R DOMINGOS ROSA, ","R DOMINGOS ROSA, 950",BOA VISTA,JARAGUÁ DO SUL,0,0,89259010,,Municipais,"-26,500263","-49,0660869"
127051,CMEI ROSA MARIA DONINI,R MARISOL,190,"R MARISOL, ","R MARISOL, 190",CENTRO,JARAGUÁ DO SUL,4,3712261,89256370,,Municipais,"-26,4808201","-49,0654935"
143715,CMEI RUI KROEGER,R 1067 VERENA SCHUNKE KROEGER,0,"R 1067 VERENA SCHUNKE KROEGER, ","R 1067 VERENA SCHUNKE KROEGER, 0",RIO DA LUZ,JARAGUÁ DO SUL,0,0,89264200,,Municipais,"-26,5441343","-49,1624648"
113409,CMEI SIDNEI ALEXANDRE BERNS,R EDMUNDO A EMMENDORFER,149,"R EDMUNDO A EMMENDORFER, ","R EDMUNDO A EMMENDORFER, 149",VIEIRAS,JARAGUÁ DO SUL,4,3702255,89257150,,Municipais,ZERO_RESULTS,ZERO_RESULTS
138061,CMEI VILA RAU,R LUCIANO ZAPELLA,0,"R LUCIANO ZAPELLA, ","R LUCIANO ZAPELLA, 0",VILA RAU,JARAGUÁ DO SUL,47,752890,89254060,,Municipais,"-26,4674141","-49,1072697"
91286,EEF MUN ANTONIO E AYROSO,R BERTHA WEEGE,3046,"R BERTHA WEEGE, ","R BERTHA WEEGE, 3046",JARAGUA 99,JARAGUÁ DO SUL,4,3761331,89260500,,Municipais,"-26,5007391","-49,1512187"
91529,EEF MUN RIBEIRAO CAVALO,R F RANCISCO GRETTER,507,"R F RANCISCO GRETTER, ","R F RANCISCO GRETTER, 507",NEREU RAMOS,JARAGUÁ DO SUL,4,2760482,89265840,,Municipais,"-26,4598452","-49,1879102"
91294,EEF MUN RICIERI MARCATTO,R RIO ALMA,0,"R RIO ALMA, ","R RIO ALMA, 0",RIO CERRO I,JARAGUÁ DO SUL,4,3761261,89251970,,Municipais,"-22,9088763","-43,3895629"
91820,EEF MUN VITOR MEIRELLES,R DOMINGOS ANACLETO GARCIA,1500,"R DOMINGOS ANACLETO GARCIA, ","R DOMINGOS ANACLETO GARCIA, 1500",TRES R DO NORTE,JARAGUÁ DO SUL,4,3923054,89266990,,Municipais,"-26,4380439","-49,1492193"
91731,EMEF LUIZ GONZAGA AYROSO,RUA ALVINO FLOR DA SILVA,30,"RUA ALVINO FLOR DA SILVA, ","RUA ALVINO FLOR DA SILVA, 30",JARAGUA 84,JARAGUÁ DO SUL,47,33761327,89251080,,Municipais,"-26,5138626","-49,1616188"
142000,EMEF PROF FRANCISCO SOLAMON,R 839 SIZINO GARCIA,839,"R 839 SIZINO GARCIA, ","R 839 SIZINO GARCIA, 839",SANTO ANTONIO,JARAGUÁ DO SUL,47,2737224,89266250,,Municipais,"-26,431137","-49,149417"
91367,EMEF PROF HENRIQUE HEISE,RIO DA LUZ II,0,"RIO DA LUZ II, ","RIO DA LUZ II, 0",RIO DA LUZ,JARAGUÁ DO SUL,47,30558740,89251970,henriqueheise@gmail.com,Municipais,"-20,8334518","-49,4171857"
91324,ESC MUN DE ENS FUND ADELINO FRANCENER,R DOMINGOS DA ROSA,0,"R DOMINGOS DA ROSA, ","R DOMINGOS DA ROSA, 0",ILHA FIGUEIRA,JARAGUÁ DO SUL,4,3715772,89258010,,Municipais,"-28,4673917","-48,9852543"
91669,ESC MUN DE ENS FUND ALTO GARIBALDI,ALTO GARIBALDI,0,"ALTO GARIBALDI, ","ALTO GARIBALDI, 0",,JARAGUÁ DO SUL,0,0,89251080,,Municipais,"45,6812878","-48,2152472"
103322,ESC MUN DE ENS FUND ANNA TOWE NAGEL,R MARCOS EMILIO VERBINENN,320,"R MARCOS EMILIO VERBINENN, ","R MARCOS EMILIO VERBINENN, 320",AGUA VERDE,JARAGUÁ DO SUL,4,2751259,89254640,,Municipais,"-26,4793551","-49,1065344"
91430,ESC MUN DE ENS FUND CRISTINA MARCATTO,R BERNARDO JOAO SCHMITT,54,"R BERNARDO JOAO SCHMITT, ","R BERNARDO JOAO SCHMITT, 54",JARAGUA ESQUERD,JARAGUÁ DO SUL,4,3707038,89253420,,Municipais,"-26,5029886","-49,1003046"
91685,ESC MUN DE ENS FUND DOM PIO DE FREITAS,ESTRADA NOVA NEREU RAMOS,0,"ESTRADA NOVA NEREU RAMOS, ","ESTRADA NOVA NEREU RAMOS, 0",,JARAGUÁ DO SUL,0,0,89251080,,Municipais,"-26,4511267","-49,1661818"
91502,ESC MUN DE ENS FUND FRANCISCO DE PAULA,R JOAQUIM FRANCISCO DE PAULA,0,"R JOAQUIM FRANCISCO DE PAULA, ","R JOAQUIM FRANCISCO DE PAULA, 0",CHICO DE PAULA,JARAGUÁ DO SUL,4,3710888,89254710,,Municipais,"-23,2562061","-51,1776701"
91804,ESC MUN DE ENS FUND GEORG WOLF,RIBEIRAO CACILDA GARIBALDI,0,"RIBEIRAO CACILDA GARIBALDI, ","RIBEIRAO CACILDA GARIBALDI, 0",,JARAGUÁ DO SUL,0,0,89251080,,Municipais,"-26,5208162","-49,223475"
112127,ESC MUN DE ENS FUND GUILHERME HANEMANN,R ADELA ERDEMANN,61,"R ADELA ERDEMANN, ","R ADELA ERDEMANN, 61",BARRA RIO CERRO,JARAGUÁ DO SUL,4,3761333,89260620,,Municipais,"-26,5094958","-49,1387252"
103209,ESC MUN DE ENS FUND HELMUTH G DUWE,ESTRADA RIO DA LUZ I,0,"ESTRADA RIO DA LUZ I, ","ESTRADA RIO DA LUZ I, 0",RIO DA LUZ I,JARAGUÁ DO SUL,4,3761323,89251970,,Municipais,"-23,0066716","-43,4197728"
112100,ESC MUN DE ENS FUND JONAS A DE SOUZA,R IRMAO LEANDRO,3339,"R IRMAO LEANDRO, ","R IRMAO LEANDRO, 3339",TIFA MARTINS,JARAGUÁ DO SUL,4,3760350,89253750,,Municipais,"-26,4963483","-49,1170134"
112135,ESC MUN DE ENS FUND LOTEAMENTO AMIZADE,R FREDERICO TODT,746,"R FREDERICO TODT, ","R FREDERICO TODT, 746",AMIZADE,JARAGUÁ DO SUL,4,2752272,89255700,,Municipais,"-26,4578856","-49,097642"
91626,ESC MUN DE ENS FUND MACHADO DE ASSIS,R MANOEL FRANCISCO COSTA,4390,"R MANOEL FRANCISCO COSTA, ","R MANOEL FRANCISCO COSTA, 4390",JOAO PESSOA,JARAGUÁ DO SUL,4,3702744,89257000,,Municipais,"-26,444248","-49,061217"
112119,ESC MUN DE ENS FUND MARCOS E VERBINEN,R LEOPOLDO BLESE,77,"R LEOPOLDO BLESE, ","R LEOPOLDO BLESE, 77",ESTR NOVA,JARAGUÁ DO SUL,4,3710140,89254365,,Municipais,"-26,471021","-49,1300699"
116351,ESC MUN DE ENS FUND MARIA N STAHELIN,R ELPIDIO RODRIGUES,99,"R ELPIDIO RODRIGUES, ","R ELPIDIO RODRIGUES, 99",ANA PAULA IV,JARAGUÁ DO SUL,4,3761347,89258000,,Municipais,"-26,4892716","-49,1192173"
91340,ESC MUN DE ENS FUND ORESTES GUIMARAES,RIBEIRAO GRANDE DA LUZ,0,"RIBEIRAO GRANDE DA LUZ, ","RIBEIRAO GRANDE DA LUZ, 0",,JARAGUÁ DO SUL,0,0,89251080,,Municipais,"-19,7922157","-45,6717611"
91510,ESC MUN DE ENS FUND PE ALBERTO JACOBS,R PEDRO JOAO MEURER,0,"R PEDRO JOAO MEURER, ","R PEDRO JOAO MEURER, 0",NEREU RAMOS,JARAGUÁ DO SUL,4,3701164,89265160,,Municipais,"-26,4660814","-49,1491082"
91375,ESC MUN DE ENS FUND PROF ARNOLDO SCHULZ,RIO DA LUZ VITORIA,0,"RIO DA LUZ VITORIA, ","RIO DA LUZ VITORIA, 0",INTERIOR,JARAGUÁ DO SUL,49,33923130,89251080,,Municipais,"-26,5958266","-49,1840426"
91316,ESC MUN DE ENS FUND RENATO PRADI,R CARLOS TRIBESS,150,"R CARLOS TRIBESS, ","R CARLOS TRIBESS, 150",SAO LUIS,JARAGUÁ DO SUL,4,3707449,89253535,,Municipais,"-26,504704","-49,1123078"
91308,ESC MUN DE ENS FUND RIO DA LUZ I,PASTOR ALBERTO SCHNEIDER,2491,"PASTOR ALBERTO SCHNEIDER, ","PASTOR ALBERTO SCHNEIDER, 2491",RIO DA LUZ,JARAGUÁ DO SUL,4,3761328,89260300,,Municipais,"-29,4301975","-51,968192"
91618,ESC MUN DE ENS FUND RODOLFHO DORNBUSCH,R PROF IRMAO GERALDINO 305,489,"R PROF IRMAO GERALDINO 305, ","R PROF IRMAO GERALDINO 305, 489",VILA LALAU,JARAGUÁ DO SUL,4,2752647,89256310,,Municipais,"-26,4850072","-49,0583466"
91537,ESC MUN DE ENS FUND VILA CHARTRES,ITAPOCUZINHO,0,"ITAPOCUZINHO, ","ITAPOCUZINHO, 0",,JARAGUÁ DO SUL,0,0,89251080,,Municipais,"-26,5417646","-48,6521576"
116343,ESC MUN DE ENS FUND WALDEMAR SCHMTZ,R ANGELO BENETA,240,"R ANGELO BENETA, ","R ANGELO BENETA, 240",ILHA FIGUEIRA,JARAGUÁ DO SUL,4,3704743,89256250,,Municipais,"-26,4891308","-49,0615541"
91600,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA ALBANO KANZLER,R LOURENCO KANZLER,177,"R LOURENCO KANZLER, ","R LOURENCO KANZLER, 177",NOVA BRASILIA,JARAGUÁ DO SUL,47,32752562,89252240,,Municipais,"-26,4800826","-49,0952973"
91588,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA ALBERTO BAUER,R GUANABARA,500,"R GUANABARA, ","R GUANABARA, 500",CZERNIEWICZ,JARAGUÁ DO SUL,47,32752129,89255390,,Municipais,"-16,7331426","-49,2306786"
123579,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA ATAYDE MACHADO,R ERWINO BUBLITZ,145,"R ERWINO BUBLITZ, ","R ERWINO BUBLITZ, 145",CZERNIEWICZ,JARAGUÁ DO SUL,47,33710778,89255076,,Municipais,"-26,4717634","-49,0815709"
91332,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA ERICH BLOSFELD,R ANTONIO RIBEIRO,354,"R ANTONIO RIBEIRO, ","R ANTONIO RIBEIRO, 354",ILHA FIGUEIRA,JARAGUÁ DO SUL,47,33706000,89258400,,Municipais,"-26,4923751","-49,0525238"
121380,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA MAX SCHUBERT,ROBERTO ZIEMANN,4421,"ROBERTO ZIEMANN, ","ROBERTO ZIEMANN, 4421",TRES R DO NORTE,JARAGUÁ DO SUL,47,33721064,89255300,,Municipais,"-26,4426443","-49,1080331"
121363,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA RIBEIRÃO MOLHA,ADOLFO ANTONIO EMMENDOERFFER,0,"ADOLFO ANTONIO EMMENDOERFFER, ","ADOLFO ANTONIO EMMENDOERFFER, 0",RIBEIRAO MOLHA,JARAGUÁ DO SUL,47,33709614,89259695,,Municipais,"-26,5301941","-49,0752468"
100471,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA SANTO ESTÊVÃO,ESTRADA GARIBALDI,1315,"ESTRADA GARIBALDI, ","ESTRADA GARIBALDI, 1315",GARIBALDI,JARAGUÁ DO SUL,47,30558224,89251080,,Municipais,"-34,7765698","-58,4146719"
108596,PE E JI PROF JOAO WAGNER,R 601 MANOEL F DA COSTA,180,"R 601 MANOEL F DA COSTA, ","R 601 MANOEL F DA COSTA, 180",VIEIRAS,JARAGUÁ DO SUL,4,3702246,89257000,,Municipais,"-12,9907093","-38,5196021"
156450,PRÉ-ESCOLAR ELIANE WELK KREUTZFELD,RUA LOURENÇO KANZLER,988,"RUA LOURENÇO KANZLER, ","RUA LOURENÇO KANZLER, 988",VILA LENZI,JARAGUÁ DO SUL,47,32752562,89252285,CMEI.ELIANEWK@JARAGUADOSUL.SC.GOV.BR,Municipais,"-26,4873114","-49,0948688"
91448,ACAO SOCIAL DE JARAGUA DO SUL,R EXPEDICIONARIO GUMERCINDO DA,430,"R EXPEDICIONARIO GUMERCINDO DA, ","R EXPEDICIONARIO GUMERCINDO DA, 430",CENTRO,JARAGUÁ DO SUL,4,2750491,89252000,,Particulares,"-26,4800991","-49,086725"
148776,CEI APRENDIZ,R LUIZ KIENEN,112,"R LUIZ KIENEN, ","R LUIZ KIENEN, 112",CENTRO,JARAGUÁ DO SUL,47,3275-6603,89251-630,,Particulares,"-26,4879164","-49,0796206"
135151,CEI CASTELO REI DAVI,R PE PEDRO FRANKEN,156,"R PE PEDRO FRANKEN, ","R PE PEDRO FRANKEN, 156",CENTRO,JARAGUÁ DO SUL,4,3711256,89251970,,Particulares,"50,1051773","8,6670864"
145874,CEI COLMEIA LTDA,R DR AGUINALDO JOSE DE SORZA,142,"R DR AGUINALDO JOSE DE SORZA, ","R DR AGUINALDO JOSE DE SORZA, 142",CHICO DE PAULA,JARAGUÁ DO SUL,47,33721123,89254720,ceicolmeia@yahoo.com.br,Particulares,"48,8521896","2,3554584"
130508,CEI DENTE DE LEITE,R PRE EPITACIO PESSOA,1329,"R PRE EPITACIO PESSOA, ","R PRE EPITACIO PESSOA, 1329",CENTRO,JARAGUÁ DO SUL,48,32750081,89251100,dentedeleite@dentedeleite.g12.br,Particulares,"-26,4755304","-49,0927502"
137448,CEI NINA BABY LTDA,R 25 DE JULHO,192,"R 25 DE JULHO, ","R 25 DE JULHO, 192",VILA NOVA,JARAGUÁ DO SUL,4,3707270,89250000,,Particulares,"-26,5007031","-49,0860683"
149322,CENTRO DE ED PROFISSIONAL MARISTA SAO LUIS,AV MAR DEODORO DA FONSECA,520,"AV MAR DEODORO DA FONSECA, ","AV MAR DEODORO DA FONSECA, 520",CENTRO,JARAGUÁ DO SUL,41,3271-6262,89251-700,tecpucpr@pucpr.com,Particulares,"-26,4858078","-49,0830864"
124346,CENTRO EDUC CANGURU,CEL PROCOPIO GOMES DE OLIVEIRA,538,"CEL PROCOPIO GOMES DE OLIVEIRA, ","CEL PROCOPIO GOMES DE OLIVEIRA, 538",CENTRO,JARAGUÁ DO SUL,4,2753705,89251200,,Particulares,"-26,4849498","-49,0789477"
147206,CENTRO EDUC INFANTIL CASULO,R LUIZ SARTIR,204,"R LUIZ SARTIR, ","R LUIZ SARTIR, 204",BARRA DO RIO CERRO,JARAGUÁ DO SUL,47,33765353,89265500,katiawelter@hotmail.com,Particulares,ZERO_RESULTS,ZERO_RESULTS
129283,CENTRO EDUC INTEGRADO JARAGUAENSE,R JOAO JANUARIO AROSO,115,"R JOAO JANUARIO AROSO, ","R JOAO JANUARIO AROSO, 115",JARAGUA ESQUERD,JARAGUÁ DO SUL,4,2751778,89253100,,Particulares,ZERO_RESULTS,ZERO_RESULTS
132390,CENTRO EDUC VIDA ATIVA,R JORGE CZERNIEWICZ,1098,"R JORGE CZERNIEWICZ, ","R JORGE CZERNIEWICZ, 1098",,JARAGUÁ DO SUL,4,2751237,89255000,,Particulares,"-26,473647","-49,0864614"
